conflict,land,agrtit,anymitiguse,fenc,ntwh,gdan,lgtn,scrd,cley,dp,dw,elev,fc1km,fc3km,lvstkown,grzlvstkhouse,grzcattlehouse,grzgoathouse,grzlvstkforest,hht,pctmen,gender,age,ncrop,rice,soya,cotton,channa,wheat,crmgen,crfenc,crntwh,crgdan,crlgtn,crscrd,crbush,lpmgen,lpfenc,lpntwh,lpgdan,lplgtn,lpscrd,lpcley,yrsofarming,crincmloss,lpincmloss,lessrain,morerain,partcommact,localofffence,localofflight,localofftrench,conflhhtask,conflfuel,conflcrops,confldomes,conflwater,jvcarn,jvherb,fbcarn,fbherb,mrcarn,mrherb,apcarn,apherb,mycarn,myherb,jncarn,jnherb,jlcarn,jlherb,agcarn,agherb,spcarn,spherb,occarn,ocherb,nvcarn,nvherb,dccarn,dcherb,migrtnstatus,chldatndschl,obtainwood,obtaingraze,obtainntfp,intrctfd,faceconflfd,fdfuel,fdgraze,valutgr,valulprd,valupig,valuchtl,valunlgi,valusmbr,crpig,crchtl,crnlgi,crsmbr,lplprd,lptgr,rptgovcr,rptgovlp,rptgovpig,rptgovchtl,rptgovnlgi,rptgovsmbr,rptgovlprd,rptgovtgr,Ilm,less8m,totwelvem,abvtwelvem,Ilf,less8f,totwelvef,abvtwelvef,highschledu,crhh,lphh,cattleown,bufflown,goatown,comprec,Il,less8,totwelve,abvtwelve,imppa,chngpa,obtainres,freqres,conflyear,fdaccess
1,0,NA,1,0,1,1,0,0,1,12.011735,0.24885,0.260293809,24.23789557,65.8838297,42,42,2,40,1,5,40,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,10000,0,1,0,1,1,1,1,1,0,1,0,NA,NA,NA,NA,1,0,1,0,1,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0,1,0,3,0,1,2,0,40,0,1,1,3,0,1,0,2,1,NA,3
1,25,1,1,1,1,1,1,0,0,12.297563,0.278381,0.260293809,33.21749188,68.17560578,8,8,8,NA,0,4,25,1,30,5,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,50,NA,NA,1,1,0,2,NA,2,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,1,1,NA,NA,NA,NA,0,1,2,0,1,2,1,0,3,1,0,8,NA,NA,1,1,3,3,0,0,1,0,0,50,2
0,10,1,1,0,1,0,1,1,0,12.463009,0.425815,0.260293809,41.35015201,68.95379677,23,23,19,1,1,9,55.55555556,0,15,3,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,50,NA,NA,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,NA,NA,NA,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,0,2,NA,NA,19,3,1,NA,1,2,2,0,1,1,2,1,NA,NA
1,5,1,1,0,1,0,0,0,0,8.833143,0.187652,0.260293809,8.650069422,26.35425929,19,19,2,17,1,7,57.14285714,1,18,5,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50,5000,NA,1,0,0,3,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,0,0,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,3,0,0,1,1,0,4,1,0,2,NA,17,0,0,1,4,0,1,1,2,0,50,0
1,5,1,1,1,0,0,0,0,0,8.904614,0.379052,0.260293809,5.273781224,24.03968031,3,3,3,0,0,4,50,0,75,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,8000,NA,1,0,1,2,2,2,1,1,1,0,0,NA,NA,NA,NA,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,1,NA,NA,1,NA,1,NA,1,0,1,0,0,0,0,0,0,NA,0,NA,NA,NA,0,2,0,0,2,1,0,0,0,1,0,3,0,0,0,2,3,0,0,1,1,0,0,40,3
0,0,NA,1,0,1,0,0,0,0,8.918728,0.423117,0.260293809,4.925312823,23.77681267,1,1,1,NA,1,4,75,0,28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,NA,NA,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,NA,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,2,NA,NA,1,NA,NA,NA,0,0,2,0,1,1,1,0,NA,1
1,1.5,1,1,1,1,1,1,1,0,9.279985,0.438488,0.261402747,37.72987978,31.61959544,3,3,NA,1,0,6,50,1,65,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,0,5,5,5,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,1,1,0,2,0,3,1,0,0,2,1,0,2,1,2,1,0,1,0,0,60,3
0,5,1,1,0,1,0,0,1,0,9.311348,0.412067,0.261402747,40.01713781,31.85468111,0,0,0,0,NA,4,50,1,68,4,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,50,NA,NA,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,NA,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,NA,NA,0,0,0,NA,1,1,0,0,0,1,1,1,NA,1
1,5,1,1,0,1,0,0,0,0,9.324892,0.398755,0.261402747,41.05534662,31.96059326,1,1,0,1,NA,4,75,0,16,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,0,0,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,2,0,0,1,1,0,3,1,0,0,0,1,0,1,1,3,0,1,1,1,1,10,3
1,15,1,1,1,1,0,1,0,0,8.504431,0.336478,0.261402747,3.714834805,36.08482105,3,3,1,NA,0,2,50,0,23,4,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,50,NA,NA,1,0,0,4,4,4,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,2,1,0,0,0,1,4,1,0,1,2,NA,1,0,0,2,2,1,1,4,1,50,0
